dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,methodologie,constraint_ok_count,d_positive_count,b_positive_count,model_family,n_input_features,n_parameters_for_aicc,features,cv_std,negative_r2_tau_u,aicc_tau_u,rank_rmse_tau_u,rank_neg_r2_tau_u,rank_aicc_tau_u,rank_cv_std,score_balanced,rank_balanced,score_performance_only,rank_performance_only,score_stability_reinforced,rank_stability_reinforced,score_variant
LOW_1,LOW_1_poly_rank_4,162,1.1101061362663835,0.9806890259289834,1.1101061362663835,0.9793952028384686,3.508399688942544,0.9208210955369672,0.1042813577098428,0.0469428862643745,0.0106956435641546,0.7515660771365962,162,0.9711027307715264,methodologie_1,,,,polynomial,5,21,tau_peak_MPa_csds + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r + tau_r_div_sigma_n,0.0263890101537468,-0.9711027307715264,-73203.41339834734,1.0,1.0,1.0,3.0,1.5,1.0,1.0,1.0,1.8000000000000003,1.0,performance_only
LOW_2,LOW_2_poly_rank_1,69,3.533205568755404,0.9781934564143748,3.5332055687554043,0.9779734637844256,0.5490930750421362,0.9836340124111638,0.3009472381985423,0.1715660413538136,0.0685427529284818,1.0477299962773945,69,0.8930107785626602,methodologie_1,,,,polynomial,4,15,tau_peak_MPa_csds + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p,0.0384162013885315,-0.8930107785626602,-16541.250661152044,1.0,1.0,2.0,2.0,1.35,1.0,1.0,1.0,1.4500000000000002,1.0,performance_only
FULL,FULL_direct_poly_rank_4,299,27.479027034035536,0.8869758996064261,27.47902703403552,0.8823566512991884,4.273053278806217,0.8068322866305868,0.0652176899718786,0.0322245232757237,0.0082445533091879,0.4042287427322658,299,0.9998682829613053,methodologie_2,299.0,299.0,299.0,polynomial,5,21,u_r_mm + sigma_n_x_u_r + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,0.0103102433207571,-0.9998682829613053,-163213.43586434267,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.6,3.0,performance_only
HIGH,HIGH_direct_poly_rank_1,67,67.64319558095163,0.8186430702493523,67.64319558095158,0.8191365000217021,0.3624152850644655,0.9801963127528264,0.0997657629977929,0.0729828731052262,0.0575524752894486,0.433165107295733,67,0.9994375842800112,methodologie_2,67.0,67.0,67.0,polynomial,4,15,u_r_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,0.0255335502468967,-0.9994375842800112,-30855.99300950863,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.6,2.0,performance_only
LOW_1,LOW_1_direct_poly_rank_3,163,1.7476716039424012,0.951869087585698,1.7476716039424012,0.9486397239520272,6.054264159382196,0.763311007272433,0.0121926979527869,0.0054351412374267,0.0018134028781339,0.1032971147966118,163,0.9996031951852524,methodologie_2,163.0,163.0,163.0,polynomial,6,28,delta_peak_mm + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r + sigma_n_div_tau_r,0.027084997895095,-0.9996031951852524,-143609.42812802436,1.0,1.0,1.0,4.0,1.75,1.0,1.0,1.0,2.2,2.0,performance_only
LOW_2,LOW_2_direct_poly_rank_1,69,2.100012227823848,0.9922964187342348,2.100012227823848,0.992218702103168,0.2044213079764787,0.9977316889425876,0.0105511003446503,0.0083356228353583,0.0068615265429675,0.0298191218965027,69,0.9998684912016172,methodologie_2,69.0,69.0,69.0,polynomial,5,21,u_p_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,0.0279828624418234,-0.9998684912016172,-62768.91240332269,1.0,1.0,1.0,10.0,3.25,2.0,1.0,1.0,4.6,4.0,performance_only
FULL,FULL_poly_rank_5,286,40.99697098979786,0.7589889604836659,40.99697098979784,0.7490542181490025,3.599310808896868,0.8681888231266551,0.707297450144368,0.3102612565249321,0.076657593706228,5.233388694569019,286,0.9845042567410917,methodologie_1,,,,polynomial,6,28,delta_peak_mm + tau_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,0.0122601628986478,-0.9845042567410917,-19752.53081526276,2.0,1.0,2.0,1.0,1.55,1.0,1.7,2.0,1.4500000000000002,1.0,stability_reinforced
HIGH,HIGH_exp_log_rank_5,61,143.0226027685999,0.2501768342897714,143.02260276859988,0.2530958777164899,0.7587811055346206,0.8828795352820185,1.814007217180773,1.1891279356051818,0.596349010882384,6.606078776015498,61,0.8144211841014672,methodologie_1,,,,exponential,5,6,delta_peak_mm + u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,0.1831347745852724,-0.8144211841014672,7277.58141579204,4.0,4.0,4.0,3.0,3.75,1.0,4.0,4.0,3.6000000000000005,1.0,stability_reinforced
LOW_1,LOW_1_poly_rank_4,162,1.1101061362663835,0.9806890259289834,1.1101061362663835,0.9793952028384686,3.508399688942544,0.9208210955369672,0.1042813577098428,0.0469428862643745,0.0106956435641546,0.7515660771365962,162,0.9711027307715264,methodologie_1,,,,polynomial,5,21,tau_peak_MPa_csds + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r + tau_r_div_sigma_n,0.0263890101537468,-0.9711027307715264,-73203.41339834734,1.0,1.0,1.0,3.0,1.5,1.0,1.0,1.0,1.8000000000000003,1.0,stability_reinforced
LOW_2,LOW_2_poly_rank_1,69,3.533205568755404,0.9781934564143748,3.5332055687554043,0.9779734637844256,0.5490930750421362,0.9836340124111638,0.3009472381985423,0.1715660413538136,0.0685427529284818,1.0477299962773945,69,0.8930107785626602,methodologie_1,,,,polynomial,4,15,tau_peak_MPa_csds + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p,0.0384162013885315,-0.8930107785626602,-16541.250661152044,1.0,1.0,2.0,2.0,1.35,1.0,1.0,1.0,1.4500000000000002,1.0,stability_reinforced
FULL,FULL_direct_poly_rank_3,299,28.156147582842944,0.8813371370726705,28.156147582842927,0.8764874348693321,4.327640347324974,0.8018654351633184,0.0870465438835114,0.0348434379357684,0.0085221431874863,1.0321408734874746,299,0.9997653534358866,methodologie_2,299.0,299.0,299.0,polynomial,5,21,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,0.0083836834574264,-0.9997653534358866,-145948.44558391438,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,stability_reinforced
HIGH,HIGH_direct_poly_rank_5,67,51.2823329296834,0.8957631040619984,51.28233292968336,0.8960467082667226,0.4725928952430344,0.9663250140071288,0.1061670116074975,0.0778900560922545,0.0694935754987789,0.4296987881494586,67,0.9993630965808116,methodologie_2,67.0,67.0,67.0,polynomial,3,10,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p,0.0173184651576307,-0.9993630965808116,-30032.707814328365,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,stability_reinforced
LOW_1,LOW_1_direct_poly_rank_4,163,2.631385185670256,0.8908878067581459,2.6313851856702564,0.8835668786649437,6.468303845385767,0.7298306026054542,0.0200419653581744,0.0087188684673843,0.0012831628999023,0.0959083148884209,163,0.99892784415652,methodologie_2,163.0,163.0,163.0,polynomial,4,15,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r,0.0203411766416174,-0.99892784415652,-127433.58863058651,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,stability_reinforced
LOW_2,LOW_2_direct_poly_rank_4,69,2.1388172709348883,0.9920090873007412,2.1388172709348887,0.9919284719618864,0.2157575097356012,0.9974731344991438,0.012485233075374,0.0096362362810098,0.0081692365920927,0.0385623728802731,69,0.9998158581036716,methodologie_2,69.0,69.0,69.0,polynomial,5,21,u_r_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,0.004857530265881,-0.9998158581036716,-60446.14553911977,3.0,3.0,3.0,1.0,2.5,1.0,2.9999999999999996,3.0,2.2,1.0,stability_reinforced
