file_name,rows,rows_used_for_metrics,model_family,selection_mode,rank_in_saved_results,tau_r_column,estimated_d_column,true_d_column,true_b_column,rmse_b,r2_b,output_file
FULL_exp_d_rank_2_e_predictions.csv,299,299,exponential,d,2,tau_r_MPa,d_pred,d_csds,b_csds,66.87583180927649,0.30320813897332577,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/full/FULL_exp_d_rank_2_b_predictions.csv
FULL_exp_d_rank_1_e_predictions.csv,299,299,exponential,d,1,tau_r_MPa,d_pred,d_csds,b_csds,68.67029732083684,0.26531270271944385,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/full/FULL_exp_d_rank_1_b_predictions.csv
FULL_exp_log_rank_4_e_predictions.csv,299,299,exponential,log,4,tau_r_MPa,d_pred,d_csds,b_csds,64.62045469260988,0.34941402830090096,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/full/FULL_exp_log_rank_4_b_predictions.csv
FULL_exp_log_rank_3_e_predictions.csv,299,299,exponential,log,3,tau_r_MPa,d_pred,d_csds,b_csds,72.16168018361363,0.18870658935220308,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/full/FULL_exp_log_rank_3_b_predictions.csv
FULL_exp_log_rank_5_e_predictions.csv,299,299,exponential,log,5,tau_r_MPa,d_pred,d_csds,b_csds,72.19316914079634,0.18799839194635515,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/full/FULL_exp_log_rank_5_b_predictions.csv
FULL_exp_log_rank_2_e_predictions.csv,299,299,exponential,log,2,tau_r_MPa,d_pred,d_csds,b_csds,73.27441308902479,0.16349339877668645,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/full/FULL_exp_log_rank_2_b_predictions.csv
FULL_exp_log_rank_1_e_predictions.csv,299,299,exponential,log,1,tau_r_MPa,d_pred,d_csds,b_csds,106.94849825407614,-0.7820260848230056,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/full/FULL_exp_log_rank_1_b_predictions.csv
FULL_poly_rank_4_e_predictions.csv,299,299,polynomial,log,4,tau_r_MPa,d_pred,d_csds,b_csds,29.053311752076347,0.8684908520526549,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/full/FULL_poly_rank_4_b_predictions.csv
FULL_poly_rank_2_e_predictions.csv,299,299,polynomial,log,2,tau_r_MPa,d_pred,d_csds,b_csds,37.93191733498219,0.7758316649011749,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/full/FULL_poly_rank_2_b_predictions.csv
FULL_poly_rank_1_e_predictions.csv,299,299,polynomial,log,1,tau_r_MPa,d_pred,d_csds,b_csds,39.97565824865967,0.7510248957991322,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/full/FULL_poly_rank_1_b_predictions.csv
FULL_poly_rank_5_e_predictions.csv,299,299,polynomial,log,5,tau_r_MPa,d_pred,d_csds,b_csds,40.37061536738022,0.7460808741837741,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/full/FULL_poly_rank_5_b_predictions.csv
FULL_poly_rank_3_e_predictions.csv,299,299,polynomial,log,3,tau_r_MPa,d_pred,d_csds,b_csds,44.42256936846454,0.6925517510619708,/Users/hariderarako/Desktop/python/results/methodologie_1/b_from_all_retained_d_models/full/FULL_poly_rank_3_b_predictions.csv
