Dataset,Model_Family,Features,Feature_List,N_Features,R2_train_z,RMSE_train_z,R2_val_z,RMSE_val_z,R2_cv_mean_z,R2_cv_std_z,R2_train_e_gap,RMSE_train_e_gap,R2_val_e_gap,RMSE_val_e_gap,R2_test_e_gap,RMSE_test_e_gap,R2_train_e,RMSE_train_e,R2_val_e,RMSE_val_e,R2_test_z,RMSE_test_z,R2_test_e,RMSE_test_e,RMSE_train_tau_u,R2_train_tau_u,RMSE_val_tau_u,R2_val_tau_u,RMSE_test_tau_u,R2_test_tau_u,Valid_curve_count_train,Valid_curve_count_val,Valid_curve_count_test,Target_Mode,Target_Used_For_Training,Reconstructed_Gap_Formula,Reconstructed_E_Formula,Selection_Score
LOW_2,polynomial,u_p_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,"['u_p_x_tau_p', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'tau_p_div_u_p']",5,0.9978029320673257,0.058479765767490914,0.9860065591860393,0.1378932580142534,0.9642508416480617,0.02798286244182346,0.9967075974927545,0.21813973321351748,0.9995116958411044,0.08700817597079079,0.9938243441651492,0.3259751622936151,0.997299112457459,0.21813973321351748,0.9995784278480602,0.0870081759707907,0.9839952653703187,0.19848435512295806,0.9949399500230027,0.3259751622936151,0.013392793015521992,0.9997955917093053,0.022485075420481115,0.9994718402445983,0.05297505445095509,0.9954127000473066,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4153336937658876
LOW_2,polynomial,u_p_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p + tau_r_div_u_p,"['u_p_x_tau_p', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'tau_p_div_u_p', 'tau_r_div_u_p']",6,0.9979614780178065,0.05633023736165402,0.9897103236281026,0.11824468618567367,0.9722930855233844,0.011719828901065958,0.9966578979783361,0.21977999913683857,0.9992550084586425,0.10747081035015436,0.9943207059663305,0.31260084286466217,0.9972583419869385,0.21977999913683863,0.999356819552843,0.10747081035015438,0.9896389858194781,0.1596993600585791,0.995346646184158,0.3126008428646622,0.013762447650376182,0.9997841522366426,0.018828131293712566,0.9996296681669788,0.03878634719036742,0.9975409232916225,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4146848834996881
LOW_2,polynomial,u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,"['u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'tau_p_div_u_p']",4,0.9925381096513309,0.10777258831327974,0.9712437551853108,0.1976727760266593,0.967892556835127,0.008211305705952882,0.9870579278797842,0.43249413616014426,0.9892932045931421,0.4074221203313203,0.9723971391541723,0.6891599260088607,0.9893831081445132,0.43249413616014426,0.990756403160158,0.4074221203313203,0.9582778878624784,0.3204683798835921,0.9773834781077364,0.6891599260088606,0.028064113748853564,0.999102449575412,0.041004694209715316,0.9982435177572886,0.11096132764862633,0.9798739937219668,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.414368903032279
LOW_2,polynomial,u_r_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,"['u_r_x_tau_p', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'tau_p_div_u_p']",5,0.996909947729684,0.0693532463427796,0.9808708378561207,0.16122365011340808,0.966352890558761,0.004857530265881004,0.9962056151272403,0.23417957090665797,0.9985711467697482,0.1488362307784634,0.9917944617350362,0.375747850829966,0.9968873165380326,0.23417957090665806,0.9987664149073687,0.14883623077846336,0.9858658485328595,0.18652494145202542,0.9932767571867315,0.375747850829966,0.016441696631049132,0.9996919299676684,0.02758340212337989,0.999205173624654,0.044318187829319414,0.9967894583927545,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.413561530108913
LOW_2,polynomial,delta_peak_mm + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,"['delta_peak_mm', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'tau_p_div_u_p']",5,0.9962974546141548,0.07591613285689203,0.981727290294392,0.15757316291873621,0.9663993124813848,0.020143242708891614,0.9934966519740954,0.3065821134276001,0.9971324988255866,0.21084662557152814,0.9899172621378243,0.4165164956580561,0.9946650472931787,0.3065821134276001,0.9975243736536636,0.2108466255715282,0.9786834124813263,0.22906613209458776,0.9917386656815205,0.41651649565805593,0.019443679087117034,0.9995691629119983,0.02837870111078269,0.9991586791798217,0.0697184602058483,0.9920547075281826,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.412912622264195
LOW_2,polynomial,u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p + tau_r_div_u_p,"['u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'tau_p_div_u_p', 'tau_r_div_u_p']",5,0.994000581214534,0.09663589451442843,0.9773862262925412,0.17529409886474642,0.9704988510363547,0.008253523872522449,0.9920740822544434,0.3384566848515314,0.9905430076811441,0.38290529392354006,0.98260892442057,0.547023758224649,0.9934980572833761,0.33845668485153146,0.9918354072352038,0.38290529392353984,0.9650647300961549,0.2932473480074343,0.9857505479678697,0.547023758224649,0.02508883506286698,0.9992826729872551,0.03546695707744484,0.9986859119459671,0.09886992174212011,0.9840212539047501,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4118102994234663
LOW_2,polynomial,u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_p_div_tau_r + tau_p_div_u_p,"['u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_p_div_tau_r', 'tau_p_div_u_p']",5,0.9948505602806865,0.08952902832279253,0.9782863933918365,0.1717697793833954,0.9622769854932152,0.019397051001789196,0.9915731478346405,0.3489884093099688,0.9969436744798004,0.21767805914773725,0.9864681289670366,0.48252730356723345,0.9930871210351202,0.34898840930996866,0.9973613541824149,0.2176780591477373,0.9629131242002674,0.3021427423841828,0.9889126036909843,0.4825273035672333,0.023441889461323175,0.9993737591113863,0.03054732078625189,0.9990251835264959,0.10971158734646848,0.9803247929070047,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4074851810382654
LOW_2,polynomial,u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,"['u_p_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p']",4,0.9956200640484907,0.0825691400825849,0.9682240408247044,0.20779261550524825,0.9616532316438487,0.015737168210849754,0.9885362579190196,0.40704415142750133,0.9866901966216893,0.45425600021790213,0.9899669401427096,0.4154891329037243,0.9905958405421919,0.40704415142750133,0.9885091241803438,0.4542560002179022,0.9681400733888024,0.28004281035579565,0.9917793695669375,0.41548913290372397,0.0214239479186763,0.9994769355544368,0.0432603474636234,0.9980449556433325,0.09515118672856611,0.9852006468599817,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4074769398255438
LOW_2,polynomial,u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_p,"['u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_p_div_u_p']",5,0.9946584944869533,0.09118338747061101,0.9792371112374705,0.16796727007668036,0.958491136469688,0.011848108023757596,0.9916420205769864,0.3475593405883481,0.9977288631676909,0.1876447866715721,0.9848071631230949,0.5112842388884571,0.9931436200601979,0.3475593405883481,0.998039238404375,0.18764478667157197,0.965692596289188,0.2906002398108589,0.9875516842347863,0.5112842388884569,0.02397634010653458,0.9993448783170835,0.029169183876949986,0.9991111567780591,0.10191188425098839,0.9830228815919023,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4072978686699387
LOW_2,polynomial,delta_peak_mm + u_p_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,"['delta_peak_mm', 'u_p_x_tau_p', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'tau_p_div_u_p']",6,0.9981490567047988,0.053676036407460256,0.981711158671075,0.15764270241729067,0.9723855058555305,0.013099371753912877,0.9966841067022684,0.21891654695223062,0.9979682818726883,0.17747883954086405,0.9938827840452622,0.3244291539371361,0.9972798420361636,0.21891654695223062,0.9982459379723424,0.17747883954086405,0.9724939018092593,0.26020553848637357,0.994987832988299,0.3244291539371363,0.012926569949049426,0.9998095755131283,0.027430515894014584,0.9992139601578526,0.07797285893226458,0.9900619487631516,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4065939744234488
LOW_2,polynomial,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,"['delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p']",4,0.9935385625014743,0.10028788111699184,0.965620767077411,0.2161368742162901,0.9632805084020735,0.008785384069693241,0.9799408539440172,0.5384365539762935,0.9808711033340796,0.5445776496407498,0.9821185206729715,0.5546827884878521,0.9835446918846074,0.5384365539762934,0.9834852724786813,0.5445776496407498,0.9690170723741731,0.2761615859172944,0.9853487335633571,0.5546827884878521,0.02763274592512366,0.999129829651422,0.04519911732917869,0.9978657931173582,0.09281732016477323,0.9859177397702943,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4063824828714782
LOW_2,polynomial,u_p_x_tau_p + u_p_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,"['u_p_x_tau_p', 'u_p_x_tau_r', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'tau_p_div_u_p']",6,0.9979892072244771,0.05594580662292903,0.985771022885735,0.13904891859077634,0.9648406907979635,0.0243517701960458,0.9975806202945406,0.18699514562646763,0.999388531464577,0.09736478513796588,0.9953422461874042,0.2830943701376177,0.9980152874708449,0.18699514562646766,0.999472095206183,0.09736478513796586,0.9856665068364565,0.18783566797560375,0.9961836495260501,0.2830943701376177,0.012520855038039506,0.9998213413007527,0.023009092872787573,0.999446935729529,0.04568541775932398,0.996588310364496,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4057561912651122
LOW_2,polynomial,u_p_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,"['u_p_x_tau_r', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'tau_p_div_u_p']",5,0.9972257569980931,0.06571373186428488,0.980501866731769,0.16277109774250678,0.9571051117882229,0.035298323422567626,0.9961639023470612,0.23546325475245752,0.9976800442654905,0.18965080999335468,0.9933133318728536,0.3391937584146555,0.9968530979003957,0.2354632547524576,0.9979970911294009,0.18965080999335465,0.9835550363714071,0.20119561003550282,0.9945212499193986,0.3391937584146555,0.016184324463349792,0.9997014993054737,0.029943896466449658,0.9990633157159391,0.052611542384925776,0.9954754396751566,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4055245902836235
LOW_2,polynomial,u_p_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_p_div_tau_r + tau_r_div_tau_p + tau_p_div_u_p,"['u_p_x_tau_p', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_p_div_tau_r', 'tau_r_div_tau_p', 'tau_p_div_u_p']",6,0.9980909854002329,0.05451154693467251,0.9877196788048004,0.12917713204227524,0.9595799097190295,0.03164365330344647,0.997112772170783,0.20427670467492462,0.9992824920132678,0.10546982428902149,0.9951231207719473,0.28967696928915887,0.9976314932152891,0.20427670467492465,0.9993805471845973,0.10546982428902149,0.9879387242450134,0.17230531147494602,0.9960041081812775,0.28967696928915887,0.012843135387983276,0.9998120257700853,0.02171061909895107,0.999507596621028,0.0425095211968962,0.9970461615343283,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4043452683339706
LOW_2,polynomial,u_p_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_p_div_tau_r + tau_p_div_u_p,"['u_p_x_tau_p', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_p_div_tau_r', 'tau_p_div_u_p']",6,0.9980829278000334,0.05462646741442897,0.9759446821035082,0.18079496247809776,0.9750953914248482,0.008451375495326669,0.9960358684392223,0.23936042397708496,0.9980428946535632,0.17418949269425885,0.9913613719878991,0.3855363703095548,0.9967480666395022,0.239360423977085,0.9983103541154833,0.17418949269425898,0.9325103486358663,0.4075872913365582,0.9929219032532154,0.3855363703095546,0.014259531265466197,0.9997682783072998,0.0319384329990764,0.9989343764309195,0.1672102437762967,0.954297487609359,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4026472402663996
LOW_2,polynomial,u_p_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_p,"['u_p_x_tau_p', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_p']",6,0.9981821874610575,0.05319348314521651,0.9775396762553911,0.17469834115058744,0.9728579854527681,0.01327556404405627,0.99615579259753,0.2357120153461687,0.9986008638025761,0.14728036401746147,0.9911847640875128,0.3894573795229418,0.9968464451532197,0.2357120153461687,0.998792070788545,0.14728036401746153,0.934929739923922,0.4002149550098958,0.9927771988159564,0.3894573795229417,0.014028613832146476,0.9997757224962048,0.030426795689249688,0.9990328606692157,0.1595475281551895,0.9583903104774825,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4026411125773697
LOW_2,polynomial,delta_peak_mm + u_p_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,"['delta_peak_mm', 'u_p_x_tau_r', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'tau_p_div_u_p']",6,0.9976515599084085,0.06046076315622877,0.9793781603445277,0.16739576947192214,0.9691530287332603,0.017912607243855263,0.9961336161070494,0.23639092618703564,0.9988925724803559,0.13103053324308125,0.9936331604602755,0.3309824146874189,0.9968282529040204,0.23639092618703564,0.9990439143429994,0.13103053324308123,0.973228603012504,0.25670690987299616,0.9947833028381015,0.3309824146874189,0.015185036197493259,0.9997372226940788,0.02909699236654274,0.9991155509723456,0.07367777460913011,0.9911266560796923,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4021634139867722
