Dataset,Model_Family,Features,Feature_List,N_Features,R2_train_z,RMSE_train_z,R2_val_z,RMSE_val_z,R2_cv_mean_z,R2_cv_std_z,R2_train_e_gap,RMSE_train_e_gap,R2_val_e_gap,RMSE_val_e_gap,R2_test_e_gap,RMSE_test_e_gap,R2_train_e,RMSE_train_e,R2_val_e,RMSE_val_e,R2_test_z,RMSE_test_z,R2_test_e,RMSE_test_e,RMSE_train_tau_u,R2_train_tau_u,RMSE_val_tau_u,R2_val_tau_u,RMSE_test_tau_u,R2_test_tau_u,Valid_curve_count_train,Valid_curve_count_val,Valid_curve_count_test,Target_Mode,Target_Used_For_Training,Reconstructed_Gap_Formula,Reconstructed_E_Formula,Selection_Score
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p']",4,0.9848126177281297,0.18285628581709207,0.9710146073645354,0.2696058376616189,0.9788231307844371,0.008938236922727603,0.7620969004035962,4.784094365606376,0.5999515527543237,6.06558703653985,0.9781610174204078,0.8649514190708847,0.7926693325156828,4.784094365606376,0.616107745284548,6.06558703653985,0.912658995261227,0.43953530801784224,0.9821516078621153,0.8649514190708846,0.09330389154330408,0.99976396889523,0.07551531131441137,0.9996845444870983,0.19039188267726997,0.9986970471690299,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.419532349064481
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_r,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_r']",5,0.9865662635692227,0.17197560403391843,0.9729355629602072,0.2605188765379267,0.9776017293709474,0.0077973627973266955,0.7904541812080106,4.489926038167219,0.6132367160209727,5.96402099934531,0.9846884913206386,0.7242433347061233,0.8173824781921939,4.48992603816722,0.628856379395768,5.96402099934531,0.9565779974061647,0.3099128618723131,0.9874863304581211,0.7242433347061232,0.08611679221364525,0.9997989308638005,0.06727687157565734,0.999749619983467,0.08666577619241202,0.9997300227936736,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4109566913659481
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_r_div_tau_r']",5,0.9854570390448703,0.178934815964991,0.9719376256804969,0.26527840910048683,0.9792557278434302,0.008383683457426426,0.7651988762756654,4.7528025543970465,0.6178546428557921,5.92830908085581,0.9807703231616125,0.8116363843296885,0.7953726799254788,4.7528025543970465,0.6332878085312523,5.92830908085581,0.9164259273606837,0.4299524808179021,0.9842841207622435,0.8116363843296885,0.07420258151942924,0.9998507178940905,0.07622787973417966,0.9996785630729865,0.18121078736147736,0.9988196795496186,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4107271212564692
FULL,polynomial,u_r_mm + sigma_n_x_u_r + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,"['u_r_mm', 'sigma_n_x_u_r', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p']",5,0.9854597387020184,0.1789182070681965,0.9729796809533663,0.26030645279968856,0.9774590176242984,0.010310243320757164,0.7690971115090721,4.713183733531789,0.6432336320145109,5.728072391103733,0.9767057561911867,0.893305119542229,0.7987699610635733,4.71318373353179,0.6576418522417542,5.728072391103733,0.8893925299415097,0.4946259591350265,0.9809622633957449,0.893305119542229,0.06285340735952454,0.9998928906518798,0.07652793124776655,0.9996760275844615,0.2514309986905029,0.9977276800684648,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4106781654334397
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",5,0.9858122121548388,0.17673630651694203,0.9726619288076146,0.26183254844573495,0.9770010587465302,0.008589308595236956,0.7860412177623427,4.536957864941313,0.6140845707294464,5.957480309220315,0.9800470223218899,0.82675984077126,0.813536615492942,4.536957864941313,0.6296699929916911,5.957480309220316,0.9584558012473203,0.30313764313923386,0.9836929871334684,0.82675984077126,0.11552796111725068,0.999638137198445,0.07828497160593056,0.9996609803399398,0.08964196666691797,0.9997111618271195,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.410303527321356
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p']",5,0.9861556267706697,0.17458425795647434,0.972302359073687,0.2635488272961746,0.9775612231603065,0.008406554704049047,0.7952034577438984,4.438753187371178,0.6158248045214605,5.944032903652192,0.9781834943694914,0.8645061951722698,0.8215214350865079,4.438753187371179,0.6313399464154525,5.944032903652192,0.9534624181131239,0.3208385779446573,0.9821699776465063,0.8645061951722697,0.07237883254431224,0.9998579658191022,0.07584237438137077,0.9996818060417956,0.09640813761249005,0.9996659132714856,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4102423151834353
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_r']",5,0.9863491305925904,0.17335987608160802,0.9721090236616371,0.26446704112505115,0.9776559739364794,0.00715534047896742,0.7852959700096044,4.544852419386426,0.6056416958269458,6.022295195515604,0.9822469713963523,0.779851193242424,0.8128871379776068,4.544852419386427,0.6215680885725721,6.022295195515605,0.9527590646476495,0.3232540092059938,0.9854909442324897,0.779851193242424,0.06549816141929365,0.9998836870844772,0.0677447546799146,0.9997461252924437,0.0953707758249851,0.9996730642082395,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.41022147658198
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p,"['u_r_mm', 'u_r_x_u_p', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p']",5,0.9865875911235835,0.17183903458478092,0.9713795590645178,0.2679031733346476,0.9783735430176723,0.0056464071616240015,0.7748702160129246,4.653890541693315,0.6318199950408113,5.818977045214575,0.9785191974213372,0.857829083785166,0.8038011759248804,4.653890541693316,0.6466891617301312,5.8189770452145755,0.9780080806687762,0.22055466239610885,0.9824443383997782,0.857829083785166,0.05412938717943296,0.9999205606020382,0.07777049137725618,0.999665421697654,0.038450159123867365,0.999946859196107,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4100016898571917
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_r,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_r']",5,0.9854170150860323,0.17918087173902092,0.971146163275783,0.2689933122667263,0.9791283345428319,0.008144782657849518,0.7658092632768596,4.746620861795863,0.6069398872061846,6.012374602560406,0.9799386597809996,0.8290018241350874,0.7959046273637258,4.746620861795864,0.6228138517271586,6.012374602560406,0.9079137520764542,0.4513173869541136,0.9836044254472351,0.8290018241350873,0.07244941612031773,0.9998576886615864,0.07620803863375133,0.9996787303826995,0.19206672258167262,0.9986740227026463,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.409895852281414
FULL,polynomial,u_r_mm + tau_r_MPa + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,"['u_r_mm', 'tau_r_MPa', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p']",5,0.9866524622116057,0.17142296850267844,0.9723483472314663,0.26332994294751494,0.976607088896154,0.009382216462187598,0.7858830905454383,4.538634085027637,0.619482060543818,5.915672359696801,0.9840521979900352,0.7391386838022825,0.8133988088755257,4.538634085027637,0.6348495019959353,5.915672359696801,0.9809399474825914,0.20532731237883664,0.9869663056429567,0.7391386838022825,0.06515341649813333,0.9998849082717222,0.07474996418397513,0.9996909063627681,0.06210994419298335,0.9998613390679483,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4097136700333246
FULL,polynomial,u_r_mm + u_r_x_u_p + tau_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p,"['u_r_mm', 'u_r_x_u_p', 'tau_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p']",5,0.986335974459713,0.1734433944363848,0.9713483796579038,0.2680490618667911,0.9778721380404894,0.008070543802348545,0.777241620543099,4.629314775659266,0.6170150739906057,5.934817720706881,0.97881338111005,0.8519347667982172,0.8058678361951773,4.629314775659266,0.6324821461499475,5.9348177207068815,0.9675267822852471,0.2680077410078698,0.9826847665340825,0.8519347667982172,0.045180822225185456,0.9999446550519744,0.0768025100971959,0.9996736986162871,0.08380096965421355,0.9997475764182976,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4094773942979137
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_p,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_r_div_tau_p']",5,0.985431930090539,0.17908921810270037,0.9695258667310109,0.2764428609803085,0.979333109743545,0.008592968124172793,0.7644842199594574,4.760030032043286,0.6025724808817888,6.045684957678572,0.9804015819808329,0.8193812522192633,0.7947498626048441,4.760030032043286,0.6186228256835025,6.0456849576785725,0.9185855642698513,0.4243609223135586,0.9839827588664705,0.8193812522192632,0.07961411002265843,0.999828149890633,0.07726328025122634,0.9996697716367,0.1714279590709429,0.9989436808663621,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.408333124790366
FULL,polynomial,sigma_n_MPa + u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,"['sigma_n_MPa', 'u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p']",5,0.9854472940446523,0.1789947565717991,0.9725975231293403,0.2621407922547438,0.9739887634041375,0.014379620885434725,0.7689673290706052,4.714508105335557,0.6368245823991812,5.779293714146282,0.9764664696487129,0.8978815666900497,0.7986568566961197,4.7145081053355575,0.6514916358758318,5.779293714146282,0.8883981244186726,0.4968444269519059,0.9807667011699027,0.8978815666900497,0.06270191475923037,0.9998934063508572,0.07618372264490214,0.99967893536743,0.2535908329283865,0.9976884731769404,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4081539427428655
FULL,polynomial,tau_peak_MPa_csds + u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,"['tau_peak_MPa_csds', 'u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p']",5,0.9863759449677311,0.17318952715966782,0.9712274722397126,0.2686140386577487,0.9741728903981347,0.005955966767006447,0.783826084405074,4.560383144219435,0.6043249061527661,6.03234124664278,0.980646559142659,0.8142440794848144,0.8116061443124133,4.560383144219435,0.6203044782261572,6.0323412466427815,0.9798536469629952,0.21109740572350147,0.984182971876997,0.8142440794848143,0.0485578313231521,0.9999360724165406,0.07458074135334636,0.9996923042629442,0.05811060534937951,0.9998786212568229,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4077183207620794
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p']",5,0.9853277645825127,0.17972834501873142,0.9690190427235954,0.27873218170212266,0.9787927567382191,0.008066818472867925,0.7643448269349653,4.761438465979883,0.5947944506562075,6.104558171874137,0.9780445884498589,0.8672539883006437,0.7946283826877703,4.761438465979883,0.611158915796834,6.104558171874137,0.8920488180721331,0.4886505330665515,0.9820564537076122,0.8672539883006437,0.07842224774547432,0.999833256737202,0.07717338524818637,0.9996705396240292,0.2180822542338749,0.998290486666863,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4076087392454182
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p,"['u_r_mm', 'u_r_x_u_p', 'u_p_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p']",5,0.9861689116388794,0.17450047353784928,0.9711538613648738,0.2689574266991184,0.972574223697603,0.0056704419085640044,0.7819213806124118,4.580429803046831,0.6227030260267232,5.8905819921003255,0.9789689938976678,0.8488003291284172,0.8099462100393311,4.580429803046831,0.6379403868877687,5.8905819921003255,0.9851665070396217,0.18113667480201145,0.9828119445308116,0.8488003291284173,0.05028642794755172,0.9999314399228623,0.07709188481384295,0.9996712351224918,0.04682988893749597,0.9999211724383846,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.406873929022819
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_sigma_n,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_sigma_n']",5,0.9855655015213581,0.17826631266155618,0.9696552929845176,0.27585519810149606,0.9766849742012518,0.011467106859620931,0.7719874191736134,4.68359239784327,0.5888757822974267,6.148979914296643,0.985234660580209,0.7112089807060363,0.8012888413065841,4.683592397843269,0.6054792763511396,6.148979914296643,0.9509965255225086,0.32922902277928795,0.9879326993804344,0.7112089807060362,0.07223934413612386,0.9998585127478148,0.07262302848226834,0.9997082460137325,0.10335133072700811,0.9996160594498898,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4068510693991811
FULL,polynomial,u_r_mm + tau_r_MPa + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,"['u_r_mm', 'tau_r_MPa', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p']",6,0.9878272797401614,0.16370511631264215,0.9774588340425011,0.2377540293779356,0.9785469384241722,0.00825638145763035,0.8276838343818838,4.071577430466903,0.6504399215909347,5.669926882520062,0.9819452245437723,0.7864508033116148,0.8498278261336187,4.071577430466903,0.6645571115626505,5.669926882520062,0.9787165266556221,0.21697311696667668,0.9852443349350286,0.7864508033116148,0.0507472901040311,0.9999301774934432,0.07665908927479889,0.9996749161472538,0.06688805346829634,0.9998391841123474,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4059066651088241
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + sigma_n_div_u_r,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'sigma_n_div_u_r']",5,0.9854331310396502,0.17908183615466558,0.9717115526576439,0.2663448190504237,0.9713576190783867,0.01658361910135832,0.7685425644127011,4.718840039885417,0.6255460056418497,5.868346892941039,0.9763519872130019,0.9000628577867286,0.7982866776602163,4.718840039885417,0.6406685510940672,5.868346892941041,0.8908372353835681,0.491385049686522,0.9806731378641022,0.9000628577867286,0.06300647606446724,0.9998923683237003,0.07561671927282793,0.999683696680789,0.24750110288628122,0.9977981581900377,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4057320002867013
FULL,polynomial,u_r_mm + u_r_x_u_p + u_r_x_tau_p + u_p_div_u_r + tau_r_div_tau_p,"['u_r_mm', 'u_r_x_u_p', 'u_r_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p']",5,0.9857085015901375,0.17738108806787467,0.970889536625118,0.27018688041788,0.9723991142307421,0.01447624138230123,0.776793840712955,4.633965269869504,0.6030548471831411,6.042014955019728,0.9773256479293988,0.881338937143666,0.8054775996189104,4.633965269869505,0.6190857113372272,6.042014955019728,0.987571146527841,0.16580598770293056,0.9814688836463138,0.8813389371436658,0.051310733206547963,0.9999286184186755,0.08082938468843488,0.9996385846176588,0.07158149490118246,0.9998158238607651,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4056414696022588
FULL,polynomial,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + sigma_n_div_tau_p,"['u_r_mm', 'u_r_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'sigma_n_div_tau_p']",5,0.9849851013671557,0.1818149681430033,0.9689008313535143,0.27926344260132113,0.9752341687217119,0.009501424156738521,0.762591515770432,4.779118562877976,0.5904568029762802,6.137145256533465,0.9778130637144915,0.87181469026221,0.7931003858913137,4.779118562877976,0.606996446577235,6.137145256533466,0.8955185820564502,0.4807332984458444,0.9818672349905133,0.8718146902622099,0.09632209572397084,0.9997484515938626,0.07660691699457417,0.999675358484741,0.23589461421304433,0.9979998254916045,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4055677732986964
FULL,polynomial,u_r_mm + u_r_x_u_p + tau_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,"['u_r_mm', 'u_r_x_u_p', 'tau_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p']",6,0.9874583950974335,0.16616708047234613,0.9767864660596356,0.24127389102282765,0.97734387973303,0.007404174034878649,0.8246095522509352,4.107737243696325,0.6543185033407823,5.63838349595235,0.9781646882161488,0.8648787235273865,0.8471486135999191,4.1077372436963255,0.6682790545005588,5.638383495952351,0.9596113482629401,0.2988920432303486,0.9821546079012244,0.8648787235273865,0.05339826706615797,0.999922692069105,0.06956423413530075,0.999732305096126,0.08602188467488522,0.9997340195332202,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4047179885226626
