u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,d_pred
10.5,1.64,4.17,3.725,4.895058888506973,6.3969657626523295
10.5,2.76,3.72,3.5425,4.411982639456616,8.70945969128668
12.0,1.71,2.57,1.7327500000000002,3.9430656223739473,4.37536986958362
3.25,0.87,2.35,1.9075,4.610902999506291,6.336303250921363
2.425,0.6,4.93,4.2975,7.408370023650559,9.744001079694664
2.175,0.3,4.71,4.1925,5.403668346774408,8.615573473269494
2.2,0.47,4.91,4.25,6.841599192776869,9.450152710695747
2.625,1.5,3.89,3.6325,14.118629835864668,10.893818121903001
2.566666666666667,1.46,4.68,4.1066666666666665,34.69988213998113,12.418834695039958
2.175,0.35,4.68,4.205,5.488914851902833,8.719731908811468
2.175,0.57,4.24,4.0125,5.131835000811389,8.70410819448364
2.566666666666667,1.25,4.37,3.77,21.3711784506471,10.928289833416923
2.1775,0.23,4.79,3.54875,6.003985500457103,8.527465246118538
2.19,1.52,4.53,3.98,88.46453784563569,12.724937502915095
2.29,1.53,3.84,3.5879999999999996,24.817112109709115,11.207156867411502
2.0033333333333334,0.44,4.09,3.8813333333333335,4.6659060440256,8.213909071506341
2.175,0.29,4.72,4.314,5.226790203475336,8.6009959312631
2.1725,0.38,3.22,2.8175,4.027055137350846,6.800874990563998
2.215,0.46,4.54,3.755,6.8100946555112305,8.808244968009186
2.16,0.28,4.98,3.80875,6.5294753448886285,8.986823880392228
2.195,0.33,4.91,4.2615,5.924419564940657,9.00584638090455
2.2025,0.38,4.61,3.49275,7.034502760595067,8.682997486087512
2.1925,0.42,4.74,4.255,5.8557301765707,9.017034045023681
2.6033333333333335,0.99,4.93,4.496666666666667,9.455876145186672,10.997168223233478
2.5733333333333337,1.23,4.22,4.026666666666666,7.74122003841179,10.56197156892547
2.1725,0.43,4.53,3.8975,6.138786714707432,8.731275860256716
3.1775,1.84,4.39,3.69,51.88152690534491,12.815096106645473
2.566666666666667,1.3,4.2,3.9333333333333336,10.666176341529724,10.788951451742552
2.1775,0.67,4.06,3.745,5.907719354979028,8.726196993483676
2.563333333333333,1.11,4.61,4.293333333333333,9.21138452802538,10.866266761241334
2.17,0.32,4.74,4.0465,5.80309001190173,8.725357507637346
2.6333333333333333,1.47,3.8,3.616,9.76564024424423,10.603121811733923
3.1,1.93,4.22,4.0145,14.837057992923611,12.908310547642433
3.85,3.11,4.79,4.4285,110.04621145632456,20.25198115571167
28.00018033053748,4.54,3.73,3.372542584212134,4.343103435426621,3.9834465187214865
15.0,7.68,2.36,1.9943333333333333,16.011222974188158,26.28771065921214
17.5,12.65,2.87,2.478,88.02266261294648,132.05389294783305
13.0,1.07,2.417,1.547,3.0359207977309928,3.148034376359985
13.0,1.08,4.482,3.316,5.292113495505316,4.557497157346852
15.0,0.78,3.232,2.23,3.6162854300913425,2.803010868971445
15.0,2.08,4.233,3.386,5.454140731869376,5.2553998428975
15.0,1.56,2.845,1.821,3.870502462074933,3.429921410865156
15.0,1.9,4.37,3.015,6.174917494621263,5.058864400128688
1.6652089623887931,0.27,2.655,1.3036485066778338,5.913938435670004,6.167158394650617
3.083720300719987,0.5,2.417,0.6555920235894309,7.783373274827283,5.7154509502605055
1.7885577744175924,0.29,3.214,1.959240530267265,5.94873324311999,6.790447578659314
2.7136738646335887,0.44,3.179,1.959240530267265,5.822995088811631,6.601172175187851
2.590325052604789,0.42,4.293,1.959240530267265,10.103502878345669,8.068096085107737
1.6652089623887931,0.27,1.816,0.6555920235894309,4.99596556846492,5.313867736065364
3.392092330791986,0.55,3.752,1.3488617496840016,10.348266553301816,7.1906132577463415
11.101393082591954,1.8,3.8,2.3726672172613705,6.873786646011853,6.03445405020644
8.017672781871967,1.3,3.7,1.9806931592524069,7.687433215751687,6.380587822834172
9.25116090215996,1.5,2.94,0.5553062574145964,11.123585210138952,5.413816896237243
