dataset,model_name,model_family,selection_mode,rank_in_saved_results,model_features,saved_r2_val_z,saved_r2_cv_mean_z,saved_r2_val_e,saved_rmse_val_e,saved_r2_test_z,saved_rmse_test_z,saved_r2_test_e,saved_rmse_test_e,saved_r2_test_tau_u,saved_rmse_test_tau_u,saved_selection_score,n_rows,rmse_z,r2_z,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,r2_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,constraint_ok_count,d_positive_count,b_positive_count,detailed_output_file
LOW_2,LOW_2_direct_poly_rank_1,polynomial,log_gap,1,u_p_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,0.9860065591860392,0.9642508416480616,0.9995784278480602,0.0870081759707907,0.9839952653703188,0.198484355122958,0.9949399500230028,0.3259751622936151,0.9954127000473066,0.052975054450955,1.4153336937658876,69,0.04731682627486427,0.9986912833681554,2.1000122278238473,0.9922964187342348,2.1000122278238473,0.9922187021031681,0.20442130797647876,0.9977316889425877,0.010551100344650366,0.9998684912016171,0.008335622835358367,0.0068615265429675795,0.029819121896502772,69,69,69,69,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/low/LOW_2_direct_poly_rank_1_b_d_from_e_predictions.csv
LOW_2,LOW_2_direct_poly_rank_2,polynomial,log_gap,2,u_p_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p + tau_r_div_u_p,0.9897103236281026,0.9722930855233844,0.999356819552843,0.1074708103501543,0.989638985819478,0.1596993600585791,0.995346646184158,0.3126008428646622,0.9975409232916224,0.0387863471903674,1.414684883499688,69,0.045720570279945666,0.9987780943159681,1.6682117021159557,0.9951387120336902,1.6682117021159557,0.9950896695286068,0.21429041005175725,0.9975073818323393,0.011353025648631167,0.9998477411515387,0.008684050211021583,0.007876051208482941,0.03376269079819418,69,69,69,69,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/low/LOW_2_direct_poly_rank_2_b_d_from_e_predictions.csv
LOW_2,LOW_2_direct_poly_rank_4,polynomial,log_gap,4,u_r_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,0.9808708378561208,0.966352890558761,0.9987664149073688,0.1488362307784633,0.9858658485328596,0.1865249414520254,0.9932767571867316,0.375747850829966,0.9967894583927543,0.0443181878293194,1.413561530108913,69,0.05469159838540401,0.9982515402487688,2.1388172709348883,0.9920090873007411,2.1388172709348887,0.9919284719618864,0.2157575097356013,0.9974731344991438,0.012485233075374072,0.9998158581036715,0.009636236281009873,0.008169236592092729,0.03856237288027314,69,69,69,69,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/low/LOW_2_direct_poly_rank_4_b_d_from_e_predictions.csv
LOW_2,LOW_2_direct_poly_rank_5,polynomial,log_gap,5,delta_peak_mm + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,0.981727290294392,0.9663993124813848,0.9975243736536636,0.2108466255715282,0.9786834124813264,0.2290661320945877,0.9917386656815204,0.4165164956580559,0.9920547075281826,0.0697184602058483,1.412912622264195,69,0.058462408629631604,0.9980021272847316,1.5694337348578944,0.9956973602187944,1.569433734857895,0.9956539535671407,0.2709073832992074,0.9960162510023919,0.015043881989983786,0.9997326506461209,0.012047424123486007,0.010272582072428777,0.038864362424101594,69,69,69,69,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/low/LOW_2_direct_poly_rank_5_b_d_from_e_predictions.csv
LOW_2,LOW_2_direct_poly_rank_3,polynomial,log_gap,3,u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,0.9712437551853108,0.967892556835127,0.990756403160158,0.4074221203313203,0.9582778878624784,0.3204683798835921,0.9773834781077364,0.6891599260088606,0.9798739937219668,0.1109613276486263,1.414368903032279,69,0.11103080980101299,0.9927938811243713,2.0738257816238854,0.9924873430200261,2.073825781623886,0.9924115525051083,0.4195781511816212,0.9904440027905654,0.03133803761048716,0.9988398800431862,0.021594767661398007,0.014366441834040643,0.15059201575755649,69,69,69,69,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/low/LOW_2_direct_poly_rank_3_b_d_from_e_predictions.csv
LOW_2,LOW_2_direct_exp_rank_2,exponential,log_gap,2,u_p_x_tau_p + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + tau_p_div_u_p,0.9776343645910842,0.9625016204257352,0.9732364405113568,0.6932598413542788,0.9790545512068732,0.2270632642533882,0.9857924187796864,0.5462194753945734,0.9962361979531588,0.0479850807030437,1.4080125424208203,69,0.14703998840146623,0.9873617969953913,4.279021134871984,0.9680156238430337,4.279021134871984,0.9676929534023732,0.6751021935032623,0.9752605908902866,0.03464722411995944,0.9985819348188124,0.02609706930985869,0.01964529696998013,0.09279891279535242,69,69,69,69,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/low/LOW_2_direct_exp_rank_2_b_d_from_e_predictions.csv
LOW_2,LOW_2_direct_exp_rank_3,exponential,log_gap,3,u_p_x_tau_p + tau_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,0.9734776050307168,0.9652539563272886,0.9725621319287836,0.7019388642993067,0.9757320030986332,0.2444100203634234,0.9877807456351309,0.5065583281333179,0.9958894579141442,0.0501467038492912,1.4052517940632927,69,0.16318670959138729,0.9844337508013417,4.837731255177702,0.9591179656330368,4.837731255177702,0.9587055322630829,0.63868275487478,0.97785780535887,0.038114844821015896,0.998283880149914,0.028675848647369294,0.019448175150483946,0.09904230246879951,69,69,69,69,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/low/LOW_2_direct_exp_rank_3_b_d_from_e_predictions.csv
LOW_2,LOW_2_direct_exp_rank_4,exponential,log_gap,4,tau_peak_MPa_csds + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,0.973801455716614,0.964461706894246,0.9708150156305948,0.7239421103168134,0.976334140388972,0.241358825468605,0.9870095478255014,0.5222990564284007,0.995939055515102,0.0498432518668366,1.405156336664067,69,0.16376188528629,0.9843238263241941,4.775702872049539,0.9601596065634442,4.775702872049539,0.9597576816597607,0.6520361934474278,0.9769222379531006,0.03853297517656679,0.9982460210043829,0.028913124022595663,0.01923101753042364,0.09889933788054882,69,69,69,69,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/low/LOW_2_direct_exp_rank_4_b_d_from_e_predictions.csv
LOW_2,LOW_2_direct_exp_rank_5,exponential,log_gap,5,tau_r_MPa + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,0.9729334104575056,0.9635646645872898,0.9724543811132376,0.7033158002659983,0.9767188287868618,0.2393891453008099,0.9866934410562662,0.5286156153984697,0.9959719090402314,0.0496412235030892,1.403873210023641,69,0.16403737083753442,0.9842710400271975,4.798253681544848,0.9597824665521234,4.798253681544848,0.9593767369178725,0.6647219647566207,0.9760155179849023,0.0386041955079462,0.9982395312688606,0.029117210390077957,0.021370468243732503,0.09743270861061291,69,69,69,69,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/low/LOW_2_direct_exp_rank_5_b_d_from_e_predictions.csv
LOW_2,LOW_2_direct_exp_rank_1,exponential,log_gap,1,u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,0.9711268530040136,0.9626914788568218,0.97280299689968,0.6988510665417637,0.9786213419457482,0.2293993918670859,0.984202782950981,0.5759667327050403,0.9961365066968264,0.0486164143075439,1.4115960405540615,69,0.16573322795237824,0.9839441395172016,4.718550106932755,0.9611074728304543,4.718550106932755,0.9607151103588958,0.6927406535807834,0.9739509652945538,0.03937029659913711,0.9981689648727124,0.030115779566339946,0.01994519432303886,0.09351094797627427,69,69,69,69,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/low/LOW_2_direct_exp_rank_1_b_d_from_e_predictions.csv
